,State,County,Abbreviation
1042,Wyoming,Johnson,WY
1043,Wyoming,Laramie,WY
1044,Wyoming,Lincoln,WY
1045,Wyoming,Natrona,WY
1046,Wyoming,Park,WY
1047,Wyoming,Platte,WY
1048,Wyoming,Sheridan,WY
1049,Wyoming,Sublette,WY
1050,Wyoming,Sweetwater,WY
1051,Wyoming,Teton,WY
1052,Wyoming,Uinta,WY
1053,Wyoming,Weston,WY
1054,Colorado,Grand,CO
1055,Idaho,Blaine,ID
1056,Idaho,Boise,ID
1057,Idaho,Bonneville,ID
1058,Idaho,Idaho,ID
1059,Idaho,Jerome,ID
1060,Idaho,Kootenai,ID
1061,Idaho,Latah,ID
1062,Idaho,Nez Perce,ID
1063,Idaho,Twin Falls,ID
1064,Idaho,Valley,ID
1065,Louisiana,St. Martin,LA
1066,Maine,Franklin,ME
1067,Mississippi,Grenada,MS
1068,Missouri,Franklin,MO
1069,North Dakota,Stutsman,ND
1070,Oklahoma,Cotton,OK
1071,Oklahoma,Custer,OK
1072,Oklahoma,Johnston,OK
1073,South Dakota,Hughes,
1074,Wisconsin,Racine,WI
1075,Colorado,Montrose,CO
1076,Illinois,Monroe,IL
1077,North Carolina,Brunswick,NC
1078,Oklahoma,Carter,OK
1079,Oklahoma,Grady,OK
1080,Oklahoma,Osage,OK
1081,Oklahoma,Washington,OK
1082,Puerto Rico,Caguas,
1083,South Carolina,Horry,SC
1084,Texas,Howard,TX
1085,Texas,Hutchinson,TX
1086,Texas,Milam,TX
1087,Texas,Robertson,TX
1088,Texas,Titus,TX
1089,Country Of Mexico,SONORA,
1090,Indiana,Sullivan,IN
1091,Maryland,Allegany,MD
1092,Missouri,New Madrid,MO
1093,New York,Seneca,NY
1094,New York,St. Lawrence,NY
1095,North Dakota,Ward,ND
1096,Ohio,Gallia,OH
1097,Oklahoma,Choctaw,OK
1098,Oklahoma,Garfield,OK
1099,Texas,Freestone,TX
1100,Texas,Rusk,TX
1101,Virginia,Botetourt,VA
1102,Virginia,Covington City,VA
1103,Washington,Garfield,WA
1104,West Virginia,Mason,WV
1105,West Virginia,Mineral,WV
1106,Minnesota,Cass,MN
1107,Ohio,Harrison,OH
1108,Oklahoma,Nowata,OK
1109,Utah,Iron,UT
