,State,County,Abbreviation
900,Texas,Randall,TX
901,Texas,Rockwall,TX
902,Texas,Smith,TX
903,Texas,Tarrant,TX
904,Texas,Travis,TX
905,Texas,Victoria,TX
906,Texas,Webb,TX
907,Texas,Wichita,TX
908,Utah,Box Elder,UT
909,Utah,Cache,UT
910,Utah,Carbon,UT
911,Utah,Daggett,UT
912,Utah,Davis,UT
913,Utah,Duchesne,UT
914,Utah,Garfield,UT
915,Utah,Salt Lake,UT
916,Utah,San Juan,UT
917,Utah,Tooele,UT
918,Utah,Uintah,UT
919,Utah,Utah,UT
920,Utah,Washington,UT
921,Utah,Wayne,UT
922,Utah,Weber,UT
923,Vermont,Bennington,VT
924,Vermont,Chittenden,VT
925,Vermont,Rutland,VT
926,Vermont,Windham,VT
927,Virgin Islands,St Croix,
928,Virgin Islands,St John,
929,Virginia,Albemarle,VA
930,Virginia,Alexandria City,VA
931,Virginia,Arlington,VA
932,Virginia,Bristol City,VA
933,Virginia,Caroline,VA
934,Virginia,Carroll,VA
935,Virginia,Charles,VA
936,Virginia,Chesterfield,VA
937,Virginia,Fairfax,VA
938,Virginia,Fauquier,VA
939,Virginia,Frederick,VA
940,Virginia,Fredericksburg City,VA
941,Virginia,Giles,VA
942,Virginia,Hampton City,VA
943,Virginia,Hanover,VA
944,Virginia,Henrico,VA
945,Virginia,Hopewell City,VA
946,Virginia,King William,VA
947,Virginia,Loudoun,VA
948,Virginia,Lynchburg City,VA
949,Virginia,Madison,VA
950,Virginia,Norfolk City,VA
951,Virginia,Page,VA
952,Virginia,Prince Edward,VA
953,Virginia,Prince William,VA
954,Virginia,Richmond City,VA
955,Virginia,Roanoke,VA
956,Virginia,Rockbridge,VA
957,Virginia,Rockingham,VA
958,Virginia,Salem City,VA
959,Virginia,Stafford,VA
960,Virginia,Suffolk City,VA
961,Virginia,Virginia Beach City,VA
962,Virginia,Winchester City,VA
963,Virginia,Wythe,VA
964,Washington,Adams,WA
965,Washington,Asotin,WA
966,Washington,Benton,WA
967,Washington,Chelan,WA
968,Washington,Clallam,WA
969,Washington,Clark,WA
970,Washington,Columbia,WA
971,Washington,Cowlitz,WA
972,Washington,Franklin,WA
973,Washington,Grant,WA
974,Washington,Grays Harbor,WA
975,Washington,Jefferson,WA
976,Washington,King,WA
977,Washington,Kitsap,WA
978,Washington,Kittitas,WA
979,Washington,Klickitat,WA
980,Washington,Lewis,WA
981,Washington,Mason,WA
982,Washington,Okanogan,WA
983,Washington,Pierce,WA
984,Washington,Skagit,WA
985,Washington,Snohomish,WA
986,Washington,Spokane,WA
987,Washington,Stevens,WA
988,Washington,Thurston,WA
989,Washington,Walla Walla,WA
990,Washington,Whatcom,WA
991,Washington,Whitman,WA
992,Washington,Yakima,WA
993,West Virginia,Berkeley,WV
994,West Virginia,Brooke,WV
995,West Virginia,Cabell,WV
996,West Virginia,Gilmer,WV
997,West Virginia,Greenbrier,WV
998,West Virginia,Hancock,WV
999,West Virginia,Harrison,WV
